env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
bound,cpu_private_csr,3,physical_core_region,222.0363753,2.430162935,0.8100543118,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,660052800.0,1.296852184e-17
bound,cpu_row_owner,3,physical_core_region,249.008125,2.166935596,0.7223118652,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,3,physical_core_region,351.004125,1.53725991,0.5124199701,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,4,physical_core_region,234.46925,2.301302067,0.5753255167,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.714408231e-17
bound,cpu_private_csr,4,physical_core_region,233.976903,2.306144593,0.5765361482,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,880070400.0,1.621461041e-17
bound,cpu_row_owner,4,physical_core_region,188.1134727,2.868399387,0.7170998467,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,4,physical_core_region,271.9961393,1.983794957,0.4959487394,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,5,physical_core_region,200.520042,2.690925876,0.5381851752,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,9.15371396e-17
bound,cpu_private_csr,5,physical_core_region,149.777889,3.602564926,0.7205129853,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1100088000.0,6.933680511e-17
bound,cpu_row_owner,5,physical_core_region,163.690861,3.29636344,0.659272688,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,5,physical_core_region,219.3171807,2.460293207,0.4920586413,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,6,physical_core_region,169.5034167,3.183325624,0.5305542707,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.497393842e-17
bound,cpu_private_csr,6,physical_core_region,139.7065833,3.862270172,0.6437116954,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1320105600.0,1.413851997e-17
bound,cpu_row_owner,6,physical_core_region,148.20925,3.640694286,0.6067823811,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,6,physical_core_region,196.0425273,2.752385296,0.4587308827,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,7,physical_core_region,149.859514,3.600602693,0.5143718133,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.090389683e-16
bound,cpu_private_csr,7,physical_core_region,130.938625,4.120896868,0.5886995526,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1540123200.0,8.268687012e-17
bound,cpu_row_owner,7,physical_core_region,147.6395,3.654743952,0.5221062788,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,7,physical_core_region,183.1678333,2.945847859,0.4208354084,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,8,physical_core_region,150.3039583,3.589955818,0.4487444772,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,9.826395287e-17
bound,cpu_private_csr,8,physical_core_region,140.9582917,3.827973249,0.4784966561,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,1760140800.0,7.391654287e-17
bound,cpu_row_owner,8,physical_core_region,136.641639,3.948902938,0.4936128672,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,cpu_graph_coloring,8,physical_core_region,173.7771527,3.105037465,0.3881296832,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,cpu_atomic,9,physical_core_region,126.8864027,4.252501122,0.4725001246,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,1.164290444e-16
